Sensor,Mean Absolute Error,Standard Deviation,Root Mean Squared Error
Accelerometer,10.636985911089267,4.977440755354898,11.743951027902812
Gyroscope Uncalibrated,14.136200361878418,3.1944997549220973,14.492652944004726
Gyroscope,11.57496926353887,9.360179654392851,14.885995990002801
Linear Acceleration,10.67958423266809,7.408554855977572,12.997699967174258
All,11.756934942293663,6.811541294063094,13.587590442681602
